Nr. Commessa,"IMBA  "" IMBALLAGGIO""","NEST  "" TAGLIO / NESTING""","PIEG  "" PIEGATURA""","PROD  "" PRODUZIONE""","PROG  "" PROGETTAZIONE""","SALD  "" SALDATURA""",Totale Ore
"25/001  ""KONE SPA""",7.18,0.38,16.75,2.62,11.24,5.66,43.83
"25/002  ""BIME ELEVATORI SRL""",10.47,,5.42,,5.07,1.0,21.96
"25/003  ""PANSERI ASCENSORI SRL""",3.11,,4.23,,2.08,0.48,9.9
"25/004  ""FEREGOTTO ELEVATORI SRL""",0.48,,3.72,0.0,5.97,0.55,10.72
"25/005  ""BIME ELEVATORI SRL""",7.14,2.27,14.24,1.07,17.34,3.62,45.68
"25/006  ""SCHINDLER SPA""",0.82,0.65,0.1,,,1.05,2.62
"25/007  ""SELE LIFT SRL""",19.36,11.86,27.98,,17.86,6.8,83.86
"25/008  ""ARE SRL""",8.89,,10.97,0.38,7.78,2.84,30.86
"25/009  ""ARE SRL""",7.35,,12.41,1.05,9.0,1.48,31.29
"25/010  ""ARE SRL""",11.78,,14.85,3.47,8.4,2.55,41.05
"25/011  ""ARE SRL""",6.13,,11.56,1.88,9.25,1.63,30.45
"25/012  ""ARE SRL""",12.6,0.61,15.82,,6.92,3.84,39.79
"25/013  ""ARE SRL""",7.38,,7.44,,15.45,0.55,30.82
"25/014  ""ARE SRL""",9.11,,12.14,0.58,17.1,3.0,41.93
"25/015  ""ARE SRL""",7.36,,11.66,0.58,6.21,2.53,28.34
"25/016  ""LGM ELEVATOR SRL""",8.28,1.0,19.26,,26.69,6.51,61.74
"25/017  ""ALPEMAC SRL""",12.33,3.63,12.79,,16.07,12.17,56.99
"25/018  ""ARE SRL""",10.29,1.0,9.43,,6.5,9.35,36.57
"25/019  ""ARE SRL""",1.63,,2.76,0.77,6.17,,11.33
"25/020  ""ARE SRL""",9.18,,9.96,0.4,7.35,,26.89
"25/021  ""ARE SRL""",8.95,1.0,11.03,1.4,5.3,5.11,32.79
"25/022  ""ARE SRL""",10.55,,13.31,0.58,18.74,9.72,52.9
"25/023  ""ARE SRL""",9.31,0.58,6.75,0.58,11.95,,29.17
"25/024  ""BULGHERINI PU""",12.37,8.56,18.81,,14.15,4.85,58.74
"25/025  ""BIME ELEVATORI SRL""",9.74,1.17,7.26,,13.74,1.97,33.88
"25/026  ""SCHINDLER SPA""",8.54,1.0,29.53,1.25,7.07,7.92,55.31
"25/027  ""BIME ELEVATORI SRL""",11.99,2.0,14.76,,13.41,4.72,46.88
"25/028  ""ARE SRL""",13.37,1.72,17.52,1.72,28.23,3.13,65.69
"25/029  ""COMPAGNIA SIDERURGICA SPA""",49.31,3.3,22.92,,8.31,10.09,93.93
"25/030  ""MECA TECHNOLOGY SRL""",1.47,,9.91,1.28,8.4,1.91,22.97
"25/031  ""SAT SRL""",0.26,,,,1.02,13.35,14.63
"25/032  ""SELE LIFT SRL""",12.7,3.06,18.87,,11.36,1.45,47.44
"25/033  ""MARTINELLI ASCENSORI SRL""",0.02,0.3,0.9,,1.08,,2.3
"25/036  ""BULGHERINI MC""",1.18,1.0,9.96,,10.6,5.12,27.86
"25/037  ""CENTER LIFT SRL""",16.85,14.13,31.66,,19.22,7.02,88.88
"25/039  ""SCHINDLER SPA""",0.5,1.65,7.71,,9.1,,18.96
"25/040  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",10.42,1.18,17.16,,5.79,5.77,40.32
"25/041  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",7.68,,16.16,0.9,2.75,6.88,34.37
"25/042  ""ARE SRL""",7.15,1.0,9.71,,17.7,1.4,36.96
"25/043  ""BULGHERINI MC""",3.5,1.0,3.53,,6.23,2.15,16.41
"25/045  ""RIAM ASCENSORI SRL""",,,1.82,,2.28,,4.1
"25/046  ""BULGHERINI PU""",15.3,10.08,15.4,1.67,24.16,11.78,78.39
"25/047  ""DETTO SRL""",10.54,1.0,14.61,0.88,18.84,6.35,52.22
"25/048  ""SCHINDLER SPA""",0.78,1.0,3.92,,16.18,0.79,22.67
"25/049  ""BONI IMPIANTI di Boni Renzo""",0.17,,0.43,,,,0.6
"25/051  ""AMMAR SRL""",26.0,3.42,38.13,,79.51,21.22,168.28
"25/052  ""RIAM ASCENSORI SRL""",,,0.58,,1.3,,1.88
"25/053  ""RIAM ASCENSORI SRL""",,0.5,4.34,,4.06,,8.9
"25/054  ""RIAM ASCENSORI SRL""",0.76,,1.03,,2.45,,4.24
"25/056  ""JAM SRL""",8.72,6.7,15.64,,8.25,,39.31
"25/057  ""CENTER LIFT SRL""",9.98,10.94,20.48,,12.64,13.6,67.64
"25/058  ""ARE SRL""",8.97,2.0,14.04,,12.01,5.65,42.67
"25/059  ""ARE SRL""",7.77,1.0,5.74,2.65,18.38,1.48,37.02
"25/060  ""ARE SRL""",9.28,1.1,13.3,2.05,12.22,3.29,41.24
"25/061  ""ARE SRL""",5.96,1.0,11.28,,9.45,2.01,29.7
"25/062  ""ARE SRL""",8.93,1.0,14.35,,3.93,1.9,30.11
"25/063  ""ARE SRL""",8.23,2.33,12.84,0.63,9.67,2.04,35.74
"25/064  ""ARE SRL""",11.13,10.05,14.81,1.92,11.55,1.9,51.36
"25/065  ""CGP ASCENSORI""",0.29,,1.27,,7.23,,8.79
"25/066  ""SAT SRL""",0.18,,,,0.65,7.83,8.66
"25/067  ""KALEIDOSCOPIO S.C.S.""",13.79,18.12,32.17,,80.43,22.13,166.64
"25/068  ""TK ELEVATOR ITALIA SPA""",3.28,,4.59,,14.23,,22.1
"25/069  ""FILTERSYSTEM SRL""",9.32,1.0,4.33,3.88,7.51,0.63,26.67
"25/070  ""AFOTEK GMBH""",23.14,1.0,10.75,1.28,3.81,5.31,45.29
"25/071  ""SAT SRL""",19.98,3.17,10.69,4.13,10.42,8.76,57.15
"25/072  ""PROVESI SRL""",,,,,0.58,,0.58
"25/073  ""FERRARA ASCENSORI SRL""",13.44,5.93,5.47,0.85,13.7,13.76,53.15
"25/074  ""UPDINAMIC SRL""",14.91,8.1,10.73,5.76,43.14,17.51,100.15
"25/075  ""KRON LIFT GMBH-SRL""",24.43,6.31,13.07,1.2,13.45,1.82,60.28
"25/076  ""GSB ASCENSORI SRL""",0.87,,0.65,,0.7,,2.22
"25/078  ""ARE SRL""",11.96,2.07,16.08,,13.23,3.74,47.08
"25/079  ""ARE SRL""",9.96,6.22,14.78,,8.86,1.2,41.02
"25/080  ""ARE SRL""",6.11,2.08,11.5,,9.27,4.08,33.04
"25/081  ""ARE SRL""",9.31,2.07,11.42,,4.87,1.38,29.05
"25/082  ""ARE SRL""",0.47,,,,0.55,,1.02
"25/083  ""USAPI SRL""",0.18,0.7,,,,,0.88
"25/086  ""JAM SRL""",27.91,13.19,30.5,,75.9,5.99,153.49
"25/087  ""RIMACO SRL""",17.9,2.68,15.43,,30.37,4.25,70.63
"25/088  ""TRR SOLUTIONS SRL""",0.08,0.4,2.44,,1.45,,4.37
"25/089  ""CORAL""",35.89,3.84,14.44,,75.59,53.95,183.71
"25/090  ""CORAL""",1.6,5.43,2.92,,50.09,14.54,74.58
"25/091  ""CORAL""",36.45,5.96,35.99,,19.77,13.86,112.03
"25/092  ""ZEUS ELECTROSTATIC SYSTEM SRL""",,,0.95,,,,0.95
"25/093  ""MECA TECHNOLOGY SRL""",3.26,0.47,8.62,,5.25,2.13,19.73
"25/094  ""RIAM ASCENSORI SRL""",18.13,6.46,18.22,,11.27,1.51,55.59
"25/095  ""RIAM ASCENSORI SRL""",13.39,14.48,20.54,,54.38,5.79,108.58
"25/096  ""SOCIETA' ITALIANA ASCENSORI SRL""",21.26,2.4,21.31,,47.26,41.86,134.09
"25/098  ""ARE SRL""",15.57,1.36,9.24,,10.42,2.05,38.64
"25/099  ""ARE SRL""",9.73,1.0,11.52,,9.46,4.53,36.24
"25/100  ""ARE SRL""",3.75,2.48,12.21,,30.64,0.52,49.6
"25/101  ""ARE SRL""",5.93,1.65,7.05,,6.77,9.62,31.02
"25/102  ""ARE SRL""",9.57,1.0,12.67,,13.99,,37.23
"25/103  ""ARE SRL""",9.39,2.78,9.53,,5.18,2.38,29.26
"25/104  ""ARE SRL""",7.57,2.87,8.46,,6.92,4.4,30.22
"25/105  ""ARE SRL""",8.14,0.44,9.19,,6.47,,24.24
"25/106  ""RIAM ASCENSORI SRL""",5.58,6.4,14.68,,6.07,,32.73
"25/107  ""RIAM ASCENSORI SRL""",18.88,6.45,18.84,,7.51,3.99,55.67
"25/108  ""RIAM ASCENSORI SRL""",21.62,5.21,10.41,,7.51,0.48,45.23
"25/109  ""RIAM ASCENSORI SRL""",3.78,4.35,19.27,,7.37,5.19,39.96
"25/110  ""RIAM ASCENSORI SRL""",17.38,7.23,17.25,,8.22,1.05,51.13
"25/111  ""RIAM ASCENSORI SRL""",20.67,1.0,21.2,,31.22,6.39,80.48
"25/112  ""RIAM ASCENSORI SRL""",14.13,6.81,12.91,,6.27,1.18,41.3
"25/113  ""VIMA ASCENSORI SRL""",0.28,2.45,9.86,,11.54,5.95,30.08
"25/114  ""MBB ASCENSORI SRL""",1.4,,,,0.83,,2.23
"25/115  ""CEST SRL""",17.48,7.08,24.32,,24.54,5.0,78.42
"25/116  ""SAMER SRL""",7.59,3.27,17.06,,12.03,4.24,44.19
"25/117  ""CORAL""",11.76,1.0,,,10.08,,22.84
"25/118  ""ALPEMAC SRL""",0.2,,,,,,0.2
"25/119  ""SAT SRL""",0.07,,,,,,0.07
"25/120  ""CENTER LIFT SRL""",6.74,5.88,13.94,,8.25,2.5,37.31
"25/121  ""INOPIA GMBH""",7.44,7.95,14.49,,11.93,4.47,46.28
"25/124  ""TRR SOLUTIONS SRL""",37.81,10.3,33.92,,9.38,21.35,112.76
"25/125  ""MBB ASCENSORI SRL""",,,,,0.67,,0.67
"25/126  ""AMCA ELEVATORI SRL""",8.63,4.92,15.81,,14.91,12.95,57.22
"25/128  ""VITALI ASCENSORI SRL""",4.0,1.55,7.7,,5.52,7.63,26.4
"25/129  ""VALMET TISSUE CONVERTING SRL""",0.23,,,,,,0.23
"25/130  ""CENTER LIFT SRL""",9.79,7.73,13.57,,10.66,1.45,43.2
"25/131  ""ARE SRL""",5.38,1.61,8.06,,5.12,2.0,22.17
"25/132  ""ARE SRL""",4.48,0.83,7.83,,7.78,2.12,23.04
"25/133  ""ARE SRL""",6.07,2.78,13.19,,37.31,5.34,64.69
"25/134  ""ARE SRL""",6.9,0.62,15.87,,6.26,5.92,35.57
"25/135  ""ARE SRL""",7.76,12.17,13.49,,7.36,5.56,46.34
"25/136  ""ARE SRL""",0.42,,,,1.97,,2.39
"25/139  ""BIME ELEVATORI SRL""",25.91,7.62,27.66,,24.27,7.98,93.44
"25/140  ""BULGHERINI PU""",1.13,,,,0.18,,1.31
"25/141  ""KEMIN NUTRISURANCE EUROPE SRL""",11.1,6.38,17.59,,9.0,2.86,46.93
"25/142  ""CORAL""",17.21,1.0,17.61,,11.11,7.81,54.74
"25/143  ""ARE SRL""",0.23,,0.72,,0.5,,1.45
"25/144  ""NEULIFT SPA""",3.18,,,,0.52,,3.7
"25/145  ""USAPI SRL""",19.96,3.7,14.46,,4.65,7.71,50.48
"25/146  ""ASCENSORI BOSSI SNC""",17.83,7.69,38.08,,21.83,8.83,94.26
"25/147  ""AMMAR SRL""",2.08,9.7,5.85,,13.29,3.57,34.49
"25/148  ""MODESTO SRL""",7.07,1.85,12.21,,6.72,2.35,30.2
"25/149  ""SCHINDLER SPA""",,,0.94,,0.38,,1.32
"25/150  ""ASCENSORI BOSSI SNC""",11.69,1.34,17.95,,7.3,,38.28
"25/151  ""DETTO SRL""",1.75,0.3,0.59,,3.53,,6.17
"25/152  ""ARE SRL""",7.43,2.97,11.2,,21.3,2.45,45.35
"25/153  ""ARE SRL""",11.19,6.88,13.38,,7.87,7.93,47.25
"25/154  ""ARE SRL""",7.81,3.17,13.37,,15.98,3.3,43.63
"25/155  ""ZEUS ELECTROSTATIC SYSTEM SRL""",0.34,,,,,,0.34
"25/156  ""ARE SRL""",4.77,4.97,10.79,,5.09,2.53,28.15
"25/157  ""ARE SRL""",7.18,2.83,10.36,,6.61,1.8,28.78
"25/158  ""ARE SRL""",8.13,3.44,14.51,,6.72,2.25,35.05
"25/159  ""ARE SRL""",5.63,5.76,15.72,,9.16,5.17,41.44
"25/160  ""ARE SRL""",8.91,4.9,10.05,,14.19,0.95,39.0
"25/161  ""ARE SRL""",6.28,1.1,10.08,,4.78,8.39,30.63
"25/162  ""ARE SRL""",12.32,1.61,12.97,,7.32,2.13,36.35
"25/163  ""AMMAR SRL""",8.82,5.78,10.68,,24.17,5.47,54.92
"25/164  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",5.73,6.72,9.21,,18.59,3.6,43.85
"25/165  ""BONEDIL SRL""",20.83,7.36,21.55,,27.16,11.67,88.57
"25/167  ""ARE SRL""",,,0.67,,0.68,,1.35
"25/168  ""BECONSULT SRL""",,,,,19.03,0.27,19.3
"25/169  ""ALPEMAC SRL""",21.1,5.63,13.34,,8.41,8.84,57.32
"25/170  ""PANSERI ASCENSORI SRL""",0.25,,0.4,,1.72,,2.37
"25/171  ""ARE SRL""",0.84,,0.35,,1.05,,2.24
"25/172  ""BULGHERINI PU""",7.67,2.77,13.91,1.05,5.73,5.63,36.76
"25/173  ""RIAM ASCENSORI SRL""",1.64,1.0,0.87,,5.4,,8.91
"25/174  ""RIAM ASCENSORI SRL""",8.99,5.72,18.82,,8.77,5.47,47.77
"25/175  ""RIAM ASCENSORI SRL""",11.02,5.05,9.92,,17.06,1.78,44.83
"25/176  ""LIFT 2000 GMBH-SRL""",23.1,7.74,35.29,,52.22,29.09,147.44
"25/177  ""DB ELEV SRL""",0.17,,,,,,0.17
"25/178  ""LIFT 2000 GMBH-SRL""",18.26,7.56,17.54,,17.86,8.45,69.67
"25/179  ""LIFT 2000 GMBH-SRL""",15.79,7.85,16.09,,3.97,12.75,56.45
"25/180  ""BOSS TECHNOLOGIES SRL""",17.03,,9.73,,2.58,3.6,32.94
"25/181  ""CEST SRL""",33.97,8.43,35.1,,30.74,11.53,119.77
"25/182  ""CSM LIFT SRLS""",7.83,2.67,6.56,,5.19,,22.25
"25/183  ""PAPILLO ASCENSORI SRL""",25.13,25.33,39.34,,82.27,19.57,191.64
"25/184  ""ARE SRL""",6.49,7.69,8.09,,48.65,0.78,71.7
"25/185  ""ARE SRL""",4.74,5.35,9.31,,5.73,3.73,28.86
"25/186  ""ARE SRL""",6.53,7.14,7.9,,9.71,,31.28
"25/187  ""ARE SRL""",8.38,9.56,15.58,,80.86,0.73,115.11
"25/188  ""ARE SRL""",6.88,5.4,12.13,,6.82,,31.23
"25/189  ""AMMAR SRL""",6.53,7.73,11.64,,10.46,6.8,43.16
"25/190  ""AMMAR SRL""",0.55,1.63,7.01,,6.63,2.28,18.1
"25/191  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",27.01,1.42,9.84,,,41.3,79.57
"25/192  ""SCHINDLER SPA""",,,,,0.5,,0.5
"25/193  ""CORAL""",18.23,4.46,17.83,,7.48,32.95,80.95
"25/194  ""GRIMEL SRL""",29.5,10.17,41.05,,122.65,59.57,262.94
"25/195  ""SAT SRL""",,,0.68,,,,0.68
"25/196  ""ELMA SPA""",5.79,3.32,10.32,,6.84,3.55,29.82
"25/197  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",0.1,0.12,,,,,0.22
"25/198  ""DETTO SRL""",0.83,2.1,1.87,,0.57,2.67,8.04
"25/199  ""FAMM SRL""",0.25,,,,,,0.25
"25/200  ""TK ELEVATOR ITALIA SPA""",10.48,3.85,14.47,,21.68,7.34,57.82
"25/201  ""BULGHERINI PU""",5.54,4.1,16.61,,6.76,4.57,37.58
"25/202  ""SAT SRL""",2.56,,,,,41.51,44.07
"25/203  ""ARE SRL""",9.64,5.83,10.02,,11.27,1.03,37.79
"25/204  ""ARE SRL""",7.18,2.88,11.87,,39.92,2.29,64.14
"25/205  ""ARE SRL""",8.97,2.13,13.76,,7.28,4.95,37.09
"25/206  ""ARE SRL""",12.18,6.93,9.91,,10.44,,39.46
"25/207  ""RIAM ASCENSORI SRL""",2.67,0.95,3.25,,,,6.87
"25/208  ""USAPI SRL""",15.36,6.49,13.69,,0.8,,36.34
"25/209  ""VALMET TISSUE CONVERTING SPA""",0.07,,,,1.37,,1.44
"25/210  ""BULGHERINI MC""",14.31,12.99,16.87,,8.76,9.31,62.24
"25/211  ""BULGHERINI MC""",19.11,5.99,12.86,,26.83,4.62,69.41
"25/212  ""SAT SRL""",0.22,,1.18,,,0.53,1.93
"25/213  ""VIMA ASCENSORI SRL""",0.05,,,,0.48,,0.53
"25/214  ""ARE SRL""",4.43,2.15,1.1,,1.05,,8.73
"25/215  ""AMMAR SRL""",7.31,9.93,12.89,,11.2,4.28,45.61
"25/217  ""SELE LIFT SRL""",6.14,3.38,7.38,,6.23,0.93,24.06
"25/218  ""CENTER LIFT SRL""",6.84,4.87,9.92,,7.2,5.35,34.18
"25/219  ""CENTER LIFT SRL""",9.23,5.05,10.75,0.32,4.01,,29.36
"25/220  ""MBB ASCENSORI SRL""",1.21,0.55,1.94,,,,3.7
"25/221  ""TRR SOLUTIONS SRL""",2.55,1.35,1.18,,1.25,11.72,18.05
"25/223  ""AMMAR SRL""",8.71,9.04,10.68,,6.86,3.71,39.0
"25/224  ""CENTER LIFT SRL""",2.43,7.34,9.4,,4.65,9.16,32.98
"25/225  ""ARE SRL""",7.44,4.92,12.06,,2.03,3.92,30.37
"25/226  ""ARE SRL""",9.12,5.25,13.47,,6.3,0.68,34.82
"25/227  ""ARE SRL""",9.47,4.75,9.12,,32.06,2.56,57.96
"25/228  ""MAM SRL""",21.2,29.45,28.67,,9.21,5.76,94.29
"25/229  ""VIMA ASCENSORI SRL""",1.88,1.8,6.9,,2.97,1.53,15.08
"25/230  ""LUX IMPIANTI""",10.73,6.2,13.25,,5.41,4.52,40.11
"25/231  ""BULGHERINI PU""",11.36,6.0,20.26,0.57,11.89,10.43,60.51
"25/232  ""BULGHERINI PU""",6.66,5.2,16.79,,6.08,2.68,37.41
"25/233  ""AMMAR SRL""",10.69,7.24,7.44,,5.98,6.26,37.61
"25/234  ""SCHINDLER SPA""",1.44,0.61,1.43,,,,3.48
"25/235  ""VITALI ASCENSORI SRL""",5.98,2.91,8.18,,11.82,7.14,36.03
"25/237  ""ARE SRL""",7.72,8.33,16.28,,5.65,4.86,42.84
"25/238  ""ARE SRL""",3.42,3.68,12.44,,5.3,3.13,27.97
"25/239  ""ARE SRL""",10.6,4.02,15.51,,8.89,4.05,43.07
"25/241  ""ARE SRL""",8.53,7.48,13.97,,49.31,3.43,82.72
"25/242  ""CORAL""",0.36,,,,5.31,19.56,25.23
"25/243  ""E4 SRL""",21.71,5.06,7.04,,1.86,5.58,41.25
"25/244  ""ARE SRL""",17.8,11.69,13.17,,6.62,4.2,53.48
"25/245  ""ARE SRL""",7.67,4.57,17.84,,4.03,4.28,38.39
"25/246  ""ARE SRL""",6.68,7.07,21.3,,7.31,7.29,49.65
"25/248  ""ITAL LIFT SOLUTIONS SRL""",9.45,3.8,12.16,,14.76,2.48,42.65
"25/249  ""RIAM ASCENSORI SRL""",2.38,0.59,0.83,,,,3.8
"25/250  ""CONDOMINIO SINN""",10.34,8.49,17.35,,28.26,14.21,78.65
"25/251  ""RIAM ASCENSORI SRL""",,0.38,2.12,,,,2.5
"25/252  ""LSR-TECH""",0.22,2.58,,,0.48,,3.28
"25/253  ""CORAL""",238.91,16.08,41.35,10.53,258.11,127.28,692.26
"25/254  ""CORAL""",14.72,3.05,12.27,,12.52,113.04,155.6
"25/255  ""CORAL""",14.56,0.56,8.47,,44.38,35.98,103.95
"25/256  ""CORAL""",76.3,3.08,13.43,,56.32,3.48,152.61
"25/257  ""CORAL""",18.7,4.51,12.69,,39.71,0.0,75.61
"25/258  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",,,0.0,,8.12,,8.12
"25/259  ""CORAL""",9.9,6.69,6.72,,22.92,24.31,70.54
"25/260  ""SAT SRL""",1.06,,,,,,1.06
"25/261  ""ELMA SPA""",9.22,6.61,20.82,,6.2,2.53,45.38
"25/262  ""CARRARO ASCENSORI SRL""",4.68,2.13,4.45,,4.53,6.57,22.36
"25/264  ""ARENA ASCENSORI SRL""",33.13,7.56,18.98,,12.77,3.37,75.81
"25/265  ""JAM SRL""",1.09,0.55,3.8,,,,5.44
"25/266  ""ARE SRL""",33.46,5.11,14.01,2.95,61.7,1.17,118.4
"25/267  ""ARE SRL""",12.52,9.04,14.74,,4.73,4.73,45.76
"25/268  ""SOCIETA' ITALIANA ASCENSORI SRL""",9.92,7.62,19.51,,14.43,6.67,58.15
"25/269  ""SAT SRL""",52.09,15.71,52.72,,4.18,44.74,169.44
"25/270  ""CAVATAIO ASCENSORI SRL""",8.16,4.9,10.39,,7.87,9.11,40.43
"25/271  ""SICEM SRL""",7.79,10.4,10.55,3.75,9.74,1.83,44.06
"25/273  ""TRR SOLUTIONS SRL""",5.47,1.52,7.38,,21.44,5.13,40.94
"25/274  ""SAT SRL""",19.89,5.78,12.28,,0.87,39.62,78.44
"25/276  ""GRUPPO OCMA SRL""",12.56,2.39,17.9,,35.36,5.0,73.21
"25/277  ""GRUPPO OCMA SRL""",7.82,3.47,9.07,,6.02,7.31,33.69
"25/278  ""GRUPPO OCMA SRL""",9.36,3.06,16.09,,30.85,6.07,65.43
"25/279  ""KRON LIFT GMBH-SRL""",7.91,3.55,14.96,,9.38,2.7,38.5
"25/280  ""VIMA ASCENSORI SRL""",4.49,0.65,2.45,,3.21,1.1,11.9
"25/281  ""BMP SRL""",3.89,8.98,11.87,,16.08,2.77,43.59
"25/282  ""ARE SRL""",8.56,3.83,16.0,0.13,11.13,6.07,45.72
"25/283  ""ARE SRL""",10.13,5.85,6.77,,64.35,3.11,90.21
"25/284  ""ARE SRL""",5.48,5.08,10.05,2.0,5.26,1.98,29.85
"25/285  ""ARE SRL""",8.59,10.73,13.96,,14.48,,47.76
"25/286  ""ARE SRL""",7.17,2.21,16.39,,6.35,4.89,37.01
"25/287  ""ARE SRL""",5.51,7.33,11.37,,44.87,4.03,73.11
"25/288  ""AFOTEK GMBH""",29.98,9.29,23.11,,46.79,14.1,123.27
"25/289  ""SCHINDLER SPA""",,1.3,0.1,,,,1.4
"25/291  ""VIMA ASCENSORI SRL""",8.51,4.0,13.67,,4.42,4.29,34.89
"25/292  ""UPDINAMIC SRL""",10.3,10.61,25.9,,31.99,12.38,91.18
"25/293  ""SELE LIFT SRL""",6.64,6.2,14.45,,13.04,0.3,40.63
"25/295  ""RIAM ASCENSORI SRL""",17.34,4.81,10.98,,8.33,11.33,52.79
"25/296  ""RIAM ASCENSORI SRL""",14.7,7.09,20.36,1.49,39.22,9.28,92.14
"25/297  ""RIAM ASCENSORI SRL""",12.28,5.79,13.34,,7.43,3.36,42.2
"25/298  ""MARTINELLI ASCENSORI SRL""",0.73,,,,1.38,3.77,5.88
"25/299  ""CEST SRL""",0.68,0.87,0.82,,2.07,,4.44
"25/300  ""PROVINCIA AUTONOMA DI TRENTO""",,,,,3.91,,3.91
"25/301  ""ARE SRL""",9.64,4.86,17.19,,29.52,1.15,62.36
"25/302  ""ARE SRL""",11.43,4.3,13.68,,10.56,5.14,45.11
